输入,字符串长度,分割结果,平均分割长度,最大分割长度,最大分割长度占比,单个字符数量占长度比,分割长度离散度,是否乱码
installationpackage,19,installation|package,9.50,12,0.63,0.00,2.50,false
systemconfiguration,19,system|configuration,9.50,13,0.68,0.00,3.50,false
databaseconnection,18,database|connection,9.00,10,0.56,0.00,1.00,false
administratorrole,17,administrator|role,8.50,13,0.76,0.00,4.50,false
informationcenter,17,information|center,8.50,11,0.65,0.00,2.50,false
applicationserver,17,application|server,8.50,11,0.65,0.00,2.50,false
developmenttools,16,development|tools,8.00,11,0.69,0.00,3.00,false
systemmonitoring,16,system|monitoring,8.00,10,0.62,0.00,2.00,false
guestpermission,15,guest|permission,7.50,10,0.67,0.00,2.50,false
filemanagementsystem,20,file|management|system,6.67,10,0.50,0.00,2.49,false
indexhomepage,13,index|homepage,6.50,8,0.62,0.00,1.50,false
logoutsession,13,logout|session,6.50,7,0.54,0.00,0.50,false
signuprequest,13,signup|request,6.50,7,0.54,0.00,0.50,false
rootprivilege,13,root|privilege,6.50,9,0.69,0.00,2.50,false
testenvironmentdemo,19,test|environment|demo,6.33,11,0.58,0.00,3.30,false
temporarydevbranch,18,temporary|dev|branch,6.00,9,0.50,0.00,2.45,false
loginprocess,12,login|process,6.00,7,0.58,0.00,1.00,false
htmltemplaterender,18,html|template|render,6.00,8,0.44,0.00,1.63,false
prince,6,prince,6.00,6,1.00,0.00,0.00,false
databackupservice,17,data|backup|service,5.67,7,0.41,0.00,1.25,false
webapplicationapi,17,web|application|api,5.67,11,0.65,0.00,3.77,false
apigatewayservice,17,api|gateway|service,5.67,7,0.41,0.00,1.89,false
updateversioninfo,17,update|version|info,5.67,7,0.41,0.00,1.25,false
logrecordhistory,16,log|record|history,5.33,7,0.44,0.00,1.70,false
aboutcompanyinfo,16,about|company|info,5.33,7,0.44,0.00,1.25,false
setupprocessflow,16,setup|process|flow,5.33,7,0.44,0.00,1.25,false
gifanimationfile,16,gif|animation|file,5.33,9,0.56,0.00,2.62,false
zebra,5,zebra,5.00,5,1.00,0.00,0.00,false
hotel,5,hotel,5.00,5,1.00,0.00,0.00,false
lemon,5,lemon,5.00,5,1.00,0.00,0.00,false
olive,5,olive,5.00,5,1.00,0.00,0.00,false
mango,5,mango,5.00,5,1.00,0.00,0.00,false
grape,5,grape,5.00,5,1.00,0.00,0.00,false
berry,5,berry,5.00,5,1.00,0.00,0.00,false
peach,5,peach,5.00,5,1.00,0.00,0.00,false
apple,5,apple,5.00,5,1.00,0.00,0.00,false
truck,5,truck,5.00,5,1.00,0.00,0.00,false
plane,5,plane,5.00,5,1.00,0.00,0.00,false
metro,5,metro,5.00,5,1.00,0.00,0.00,false
train,5,train,5.00,5,1.00,0.00,0.00,false
toast,5,toast,5.00,5,1.00,0.00,0.00,false
sushi,5,sushi,5.00,5,1.00,0.00,0.00,false
pasta,5,pasta,5.00,5,1.00,0.00,0.00,false
pizza,5,pizza,5.00,5,1.00,0.00,0.00,false
honey,5,honey,5.00,5,1.00,0.00,0.00,false
sugar,5,sugar,5.00,5,1.00,0.00,0.00,false
bread,5,bread,5.00,5,1.00,0.00,0.00,false
italy,5,italy,5.00,5,1.00,0.00,0.00,false
spain,5,spain,5.00,5,1.00,0.00,0.00,false
india,5,india,5.00,5,1.00,0.00,0.00,false
china,5,china,5.00,5,1.00,0.00,0.00,false
japan,5,japan,5.00,5,1.00,0.00,0.00,false
venus,5,venus,5.00,5,1.00,0.00,0.00,false
earth,5,earth,5.00,5,1.00,0.00,0.00,false
space,5,space,5.00,5,1.00,0.00,0.00,false
laser,5,laser,5.00,5,1.00,0.00,0.00,false
robot,5,robot,5.00,5,1.00,0.00,0.00,false
angel,5,angel,5.00,5,1.00,0.00,0.00,false
queen,5,queen,5.00,5,1.00,0.00,0.00,false
crown,5,crown,5.00,5,1.00,0.00,0.00,false
